timestep	bcc	fcc	amorf
45050	0.9989954354763031	2.2512879600213866e-06	0.0010023125074312702
15025	0.004916975200172544	0.001731842023516947	0.9933511840701104
18925	0.0007694963502645465	0.0032115036941213473	0.9960189962387085
23225	0.0016130068421218765	0.007408127476566733	0.990978861451149
43675	0.9977655048370362	3.4918672376420544e-06	0.0022310063309269024
29350	0.027819940906968214	0.0008641278500035696	0.9713159278258682
12150	0.009506211132139016	0.0025482667466494606	0.987945522814989
33700	0.14384816475409706	0.00023252263565336762	0.8559193132920191
175	0.9993215444087982	1.1999162370415206e-06	0.0006772515446837133
42475	0.9972489228248597	3.1764817725843387e-06	0.0027479004647684635
8075	0.07891547083839487	0.00043656283889868065	0.9206479642582126
38225	0.8214311147174449	4.5165028111796344e-05	0.1785237230285711
13175	0.001408819219891086	0.001769665873325721	0.996821513414383
19975	0.0020480355056958785	0.0042172479850487435	0.993734715461731
47875	0.9980485157966614	2.6000657893945346e-06	0.00194888270665615
34425	0.2502178541363446	0.00015514972684104578	0.7496269983304664
14350	0.00210722794557978	0.0037272138721891677	0.9941655530929565
47550	0.9975940654277802	3.3983700293589437e-06	0.0024025318570511443
49375	0.9983709216117859	2.9403218428285527e-06	0.0016261369569037923
40200	0.9979805865287781	3.0859998341270513e-06	0.002016325946933648
24900	0.0061856268411520435	0.0018853522960562258	0.9919290196895599
18850	0.0005288151700264053	0.0045130811058006655	0.9949581055641175
46650	0.9976907796859741	3.277594870382927e-06	0.002305942190261703
46400	0.9966862237453461	3.296902367651455e-06	0.0033104766367632694
900	0.9687134461477399	1.013975927536137e-05	0.03127641295955618
15350	0.0003533567708865917	0.007648219676488224	0.9919984224438667
35575	0.3587872613288273	0.00011257166540281105	0.6411001680486952
33525	0.14407730235437338	0.0003865252933137526	0.855536175342102
19425	0.0008261153761694686	0.0044698807308705	0.9947040057182313
41850	0.9975148692131043	3.205961411637759e-06	0.002481927139720028
24475	0.004652744880750106	0.005101295155785919	0.9902459546923638
47125	0.9981290605068207	3.0077416964928716e-06	0.0018679274995538435
5000	0.306432707604205	0.00019188902402208897	0.693375402444115
