timestep	bcc	fcc	amorf
39550	0.9926661840677261	3.362902738093254e-07	0.007333488988835598
34575	0.48023345957041236	5.984343527301928e-05	0.5197066978032235
7175	0.3071580656850492	0.00013081283886400997	0.6927111212205491
13725	0.022309922342876234	0.0013644165961463517	0.9763256593942642
5900	0.3380922938842234	6.435672400127945e-05	0.6618433503909037
29950	0.06611679040827494	0.0038968361951345703	0.9299863701462746
1100	0.9836166265010834	1.4630600241769543e-06	0.01638191055651987
22000	0.0033477861038400647	0.0029905952722752644	0.9936616158485413
19425	0.006057503438819936	0.0029058030464774354	0.9910366938114167
49100	0.9959044451713562	1.6058556634224175e-07	0.0040954032433510295
22500	0.0015296647491038087	0.005594644159185664	0.9928756930828094
24350	0.0059192690852369195	0.003254568609614813	0.990826156616211
14925	0.008230762802805656	0.0018051580376281747	0.9899640779495239
37425	0.7852724592965096	1.2190397523160784e-05	0.21471534532058287
8850	0.17206205428823523	0.0015130890874137735	0.8264248558208347
39725	0.994395096540451	1.900466923294708e-07	0.005604720020928653
12250	0.03157966256297675	0.0008345966163573468	0.9675857447683811
25700	0.010372197809407225	0.0017851811586745696	0.9878426206111908
35900	0.6505875299895415	2.305540580460885e-05	0.3493894184042001
39475	0.9918107302188873	5.046044456449294e-07	0.008188774397596717
400	0.9993322818279267	6.588420279185492e-08	0.0006676558301987825
14075	0.01820787338981836	0.0017566987477461574	0.9800354263782501
44425	0.9979223096370697	1.0512124750117202e-07	0.002077596481613
7800	0.1747524425624142	9.012619696004975e-05	0.8251574353072793
14450	0.020705154054911388	0.003920058623437535	0.9753747843801975
37825	0.8632099219886586	8.60994033397966e-06	0.13678146753640613
25175	0.029477806399107975	0.0007753352223699785	0.9697468588650227
25600	0.01670851430617472	0.0028105810067730417	0.9804809031486511
30250	0.10507912279614448	0.00015220748953790063	0.8947686736024916
38475	0.9427639500200748	3.8073102862132835e-06	0.057232247678824934
5250	0.5117082360603162	4.2631301706361316e-05	0.4882491340918932
47100	0.9955879485607148	1.4739244291650523e-07	0.004411915884062182
6600	0.2969722224009638	7.820485254821463e-05	0.7029495745068416
26200	0.015532408023475	0.006444123684340359	0.978023467719555
